Input: [0, 0, 0, 0, 0], Winner node: 7
Input: [0, 0, 0, 0, 1], Winner node: 1
Input: [0, 0, 0, 1, 0], Winner node: 12
Input: [0, 0, 0, 1, 1], Winner node: 10
Input: [0, 0, 1, 0, 0], Winner node: 17
Input: [0, 0, 1, 0, 1], Winner node: 8
Input: [0, 0, 1, 1, 0], Winner node: 19
Input: [0, 0, 1, 1, 1], Winner node: 2
Input: [0, 1, 0, 0, 0], Winner node: 19
Input: [0, 1, 0, 0, 1], Winner node: 10
Input: [0, 1, 0, 1, 0], Winner node: 19
Input: [0, 1, 0, 1, 1], Winner node: 11
Input: [0, 1, 1, 0, 0], Winner node: 10
Input: [0, 1, 1, 0, 1], Winner node: 4
Input: [0, 1, 1, 1, 0], Winner node: 18
Input: [0, 1, 1, 1, 1], Winner node: 8
Input: [1, 0, 0, 0, 0], Winner node: 18
Input: [1, 0, 0, 0, 1], Winner node: 9
Input: [1, 0, 0, 1, 0], Winner node: 19
Input: [1, 0, 0, 1, 1], Winner node: 12
Input: [1, 0, 1, 0, 0], Winner node: 2
Input: [1, 0, 1, 0, 1], Winner node: 0
Input: [1, 0, 1, 1, 0], Winner node: 11
Input: [1, 0, 1, 1, 1], Winner node: 6
Input: [1, 1, 0, 0, 0], Winner node: 18
Input: [1, 1, 0, 0, 1], Winner node: 12
Input: [1, 1, 0, 1, 0], Winner node: 19
Input: [1, 1, 0, 1, 1], Winner node: 14
Input: [1, 1, 1, 0, 0], Winner node: 10
Input: [1, 1, 1, 0, 1], Winner node: 7
Input: [1, 1, 1, 1, 0], Winner node: 17
Input: [1, 1, 1, 1, 1], Winner node: 8
